Country/Region,unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Azerbaijan,MtCO2e,16.30,17.04,9.53,7.48,7.17,8.75,4.63,4.19,2.34,2.79,2.89,2.63,3.64,3.11,2.83,2.67,2.67,3.37,3.72,2.68,2.39,2.54,3.20,3.31,3.63,3.59,3.96,3.14,2.92,3.98
Angola,MtCO2e,1.89,1.75,1.86,2.32,1.75,1.90,2.03,1.91,1.49,1.63,1.73,1.92,2.10,2.20,2.50,2.34,2.61,2.95,2.93,3.05,3.11,3.41,3.62,3.46,3.77,4.58,4.60,1.95,3.73,3.93
Panama,MtCO2e,0.66,0.78,0.79,0.98,1.06,1.13,1.29,1.20,1.31,1.32,1.50,1.64,1.20,0.81,1.47,2.56,2.40,2.41,2.35,2.80,2.87,3.31,4.10,4.18,4.19,4.05,3.84,3.69,3.82,3.92
Guatemala,MtCO2e,1.47,1.42,1.48,1.56,1.65,1.83,1.75,1.87,2.02,1.90,2.23,2.30,1.96,2.02,1.97,2.57,2.69,3.06,2.65,2.06,2.65,3.04,3.06,3.17,3.50,3.69,3.82,3.79,3.86,3.71
Sri Lanka,MtCO2e,0.63,0.60,1.01,1.00,1.07,0.92,1.22,1.33,1.51,1.58,1.45,1.55,1.56,1.93,1.70,2.10,2.14,2.17,2.17,2.18,2.16,2.31,2.55,2.47,2.53,4.73,3.74,3.08,3.43,3.66
Georgia,MtCO2e,8.07,7.38,4.73,3.64,2.48,1.18,1.53,1.33,1.26,1.25,1.33,0.85,0.80,0.89,0.99,1.12,1.34,1.45,1.64,1.86,1.85,2.59,2.69,3.40,3.34,3.45,3.37,3.61,3.71,3.49
Equatorial Guinea,MtCO2e,0.01,0.01,0.01,0.01,0.02,0.02,0.03,0.05,0.05,0.05,0.11,0.57,1.98,2.03,2.67,4.67,5.64,4.63,5.97,6.19,6.25,6.67,6.80,5.54,4.41,3.39,3.96,3.71,4.49,3.36
Honduras,MtCO2e,1.07,1.09,1.10,1.12,1.09,1.11,1.40,1.25,1.29,1.58,1.75,1.93,1.91,2.18,2.53,2.52,2.96,2.95,2.95,2.87,3.08,3.29,3.69,3.63,3.35,3.05,3.25,3.14,3.17,3.29
Guinea,MtCO2e,0.31,0.33,0.36,0.39,0.44,0.48,0.56,0.62,0.68,0.75,0.81,0.86,0.90,0.94,0.99,1.16,1.24,1.36,1.42,1.54,1.90,2.05,1.89,1.72,1.68,1.95,2.06,2.36,3.03,3.24
Mongolia,MtCO2e,2.98,3.55,2.73,2.46,1.88,2.02,1.16,1.61,1.05,0.94,0.69,0.67,0.74,0.79,0.80,0.87,2.34,1.77,1.82,1.59,1.88,2.25,2.69,2.44,2.21,1.82,1.81,2.30,2.64,3.21
